grupo_etario,Departamento,lugar_discrim,cantidad_asistencia,cantidad_instit,espacios_participacion,espacios_virtuales,necesidades_nocubiertas,horas_trabajadas,ingreso_total,ganancia_total,prop_tuvo_trabajo,prop_desocupados,prop_asist_institucional,prop_partip_venezuela,prop_percep_discriminado,divisivo
5-9 años,AREQUIPA,0.216981132075472,0.0283018867924528,0.0283018867924528,1,1,2.61320754716981,0.0566037735849057,0,4.72641509433962,0,0,2.83018867924528,14.1509433962264,21.6981132075472,discriminacion baja
5-9 años,CALLAO,0.140625,0.03125,0.03125,1,1,2.9375,0,0,0,0,0,3.125,9.375,12.5,discriminacion baja
5-9 años,CUSCO,0.241379310344828,0.103448275862069,0.103448275862069,1,1,2.79310344827586,0,0,0,0,0,10.3448275862069,10.3448275862069,24.1379310344828,discriminacion baja
5-9 años,LA LIBERTAD,0.257575757575758,0.136363636363636,0.106060606060606,1,1,2.5,1.06060606060606,0,0,0,0,10.6060606060606,27.2727272727273,22.7272727272727,discriminacion baja
5-9 años,LIMA,0.164835164835165,0.021978021978022,0.021978021978022,1,1.003663003663,2.61538461538462,0.538461538461538,0,5.4945054945055,1.46520146520147,1.0989010989011,2.1978021978022,8.79120879120879,13.9194139194139,discriminacion baja
5-9 años,TUMBES,0.183673469387755,0.306122448979592,0.285714285714286,1,1,2.87755102040816,1.14285714285714,0,0,2.04081632653061,0,24.4897959183673,4.08163265306122,16.3265306122449,discriminacion baja
10-14 años,AREQUIPA,0.3125,0.046875,0.046875,1,1.0625,2.59375,1.3125,3.59375,0,1.5625,0,4.6875,17.1875,28.125,discriminacion baja
10-14 años,CALLAO,0.188679245283019,0.0566037735849057,0.0188679245283019,1,1.07547169811321,2.84905660377359,2.88679245283019,5.66037735849057,0,3.77358490566038,0,1.88679245283019,20.7547169811321,16.9811320754717,discriminacion baja
10-14 años,CUSCO,0.230769230769231,0.0769230769230769,0.0769230769230769,1,1.03846153846154,2.73076923076923,4.26923076923077,21.9230769230769,0,7.69230769230769,0,7.69230769230769,7.69230769230769,23.0769230769231,discriminacion baja
10-14 años,LA LIBERTAD,0.392156862745098,0,0,1.03921568627451,1.01960784313725,2.54901960784314,2.94117647058824,0.784313725490196,7.84313725490196,1.96078431372549,1.96078431372549,0,39.2156862745098,27.4509803921569,discriminacion baja
10-14 años,LIMA,0.368098159509202,0.0552147239263804,0.0429447852760736,1.00613496932515,1.07361963190184,2.69938650306748,1.93865030674847,3.49693251533742,6.2638036809816,4.29447852760736,0,4.29447852760736,16.5644171779141,27.6073619631902,discriminacion baja
10-14 años,TUMBES,0.0833333333333333,0.0833333333333333,0.0833333333333333,1,1,3,0,0,0,0,4.16666666666667,8.33333333333333,16.6666666666667,8.33333333333333,discriminacion baja
15-19 años,AREQUIPA,0.696969696969697,0.0151515151515152,0.0151515151515152,1,1.31818181818182,2.59090909090909,41.469696969697,283.954545454545,103.636363636364,72.7272727272727,6.06060606060606,1.51515151515152,28.7878787878788,43.9393939393939,discriminacion alta
15-19 años,CALLAO,0.433333333333333,0.0666666666666667,0.0666666666666667,1.01666666666667,1.36666666666667,2.91666666666667,36.5833333333333,213.983333333333,72.5,58.3333333333333,3.33333333333333,6.66666666666667,16.6666666666667,30,discriminacion alta
15-19 años,CUSCO,1.02631578947368,0.236842105263158,0.157894736842105,1,1.21052631578947,2.65789473684211,48.3947368421053,427.184210526316,126.315789473684,84.2105263157895,5.26315789473684,15.7894736842105,15.7894736842105,52.6315789473684,discriminacion alta
15-19 años,LA LIBERTAD,0.30952380952381,0.0238095238095238,0.0238095238095238,1,1.20238095238095,2.72619047619048,44.5357142857143,205.607142857143,111.119047619048,78.5714285714286,5.95238095238095,2.38095238095238,20.2380952380952,21.4285714285714,discriminacion alta
15-19 años,LIMA,0.472727272727273,0.0363636363636364,0.0327272727272727,1.01090909090909,1.30545454545455,2.68363636363636,40.4618181818182,208.923636363636,109.629090909091,66.1818181818182,6.54545454545455,2.90909090909091,17.0909090909091,28.7272727272727,discriminacion alta
15-19 años,TUMBES,0.324324324324324,0.0540540540540541,0.0540540540540541,1,1.08108108108108,3,38.5135135135135,122.297297297297,98.3783783783784,59.4594594594595,10.8108108108108,5.40540540540541,10.8108108108108,27.027027027027,discriminacion alta
20-24 años,AREQUIPA,0.739336492890995,0.023696682464455,0.023696682464455,1.01421800947867,1.39336492890995,2.69668246445498,55.1042654028436,453.132701421801,73.2227488151659,88.6255924170616,3.7914691943128,2.3696682464455,18.0094786729858,42.654028436019,discriminacion alta
20-24 años,CALLAO,0.550561797752809,0.00561797752808989,0.00561797752808989,1.00561797752809,1.34831460674157,2.92134831460674,54.6516853932584,302.859550561798,173.140449438202,87.0786516853933,7.30337078651685,0.561797752808989,20.2247191011236,39.8876404494382,discriminacion alta
20-24 años,CUSCO,0.8046875,0.0859375,0.0546875,1.0390625,1.3203125,2.765625,54.78125,483.4765625,119.609375,89.0625,4.6875,5.46875,14.84375,50.78125,discriminacion alta
20-24 años,LA LIBERTAD,0.495327102803738,0.0373831775700935,0.0327102803738318,1.00467289719626,1.2196261682243,2.61214953271028,56.4579439252336,287.579439252336,144.859813084112,89.7196261682243,2.33644859813084,3.27102803738318,23.3644859813084,34.5794392523365,discriminacion alta
20-24 años,LIMA,0.647444298820446,0.0144167758846658,0.0144167758846658,1.01048492791612,1.26867627785059,2.72739187418087,54.0157273918742,324.650065530799,146.420707732634,86.3695937090433,5.24246395806029,1.44167758846658,15.7273918741809,37.8768020969856,discriminacion alta
20-24 años,TUMBES,0.28735632183908,0.137931034482759,0.114942528735632,1,1.16091954022989,2.90804597701149,54.0229885057471,106.609195402299,112.068965517241,79.3103448275862,5.74712643678161,10.3448275862069,14.9425287356322,26.4367816091954,discriminacion alta
25-29 años,AREQUIPA,0.678929765886288,0.0434782608695652,0.0367892976588629,1.02341137123746,1.34448160535117,2.55183946488294,53.561872909699,494.85618729097,113.177257525084,89.2976588628762,2.0066889632107,3.67892976588629,19.7324414715719,42.4749163879599,discriminacion alta
25-29 años,CALLAO,0.561085972850679,0.0226244343891403,0.0180995475113122,1.00904977375566,1.30316742081448,2.93665158371041,51.1719457013575,354.769230769231,189.276018099548,87.3303167420815,3.61990950226244,1.80995475113122,19.9095022624434,37.1040723981901,discriminacion alta
25-29 años,CUSCO,0.847222222222222,0.0486111111111111,0.0347222222222222,1,1.29861111111111,2.80555555555556,51.4513888888889,411.875,187.847222222222,90.2777777777778,4.86111111111111,3.47222222222222,22.9166666666667,53.4722222222222,discriminacion alta
25-29 años,LA LIBERTAD,0.510344827586207,0.0586206896551724,0.0517241379310345,1,1.20344827586207,2.53793103448276,53.7,251.179310344828,175.544827586207,89.6551724137931,2.06896551724138,5.17241379310345,20,33.448275862069,discriminacion alta
25-29 años,LIMA,0.62262156448203,0.0200845665961945,0.0200845665961945,1.01374207188161,1.28012684989429,2.71564482029598,52.845665961945,379.545454545455,145.451374207188,85.3065539112051,5.39112050739958,1.90274841437632,18.1818181818182,37.9492600422833,discriminacion alta
25-29 años,TUMBES,0.257731958762887,0.350515463917526,0.278350515463918,1,1.15463917525773,2.87628865979381,50.5773195876289,110.546391752577,188.072164948454,82.4742268041237,3.09278350515464,21.6494845360825,21.6494845360825,20.6185567010309,discriminacion baja
30-34 años,AREQUIPA,0.685446009389671,0.0704225352112676,0.0563380281690141,1.0093896713615,1.24413145539906,2.57276995305164,55.9577464788733,530.103286384977,90.887323943662,91.0798122065728,0.469483568075117,5.63380281690141,27.2300469483568,38.4976525821596,discriminacion alta
30-34 años,CALLAO,0.565217391304348,0.0186335403726708,0.0186335403726708,1.00621118012422,1.20496894409938,2.86335403726708,53.9316770186336,404.291925465839,154.223602484472,86.3354037267081,3.1055900621118,1.86335403726708,20.4968944099379,35.4037267080745,discriminacion alta
30-34 años,CUSCO,0.676470588235294,0.0882352941176471,0.0490196078431373,1,1.19607843137255,2.69607843137255,52.7254901960784,410.764705882353,154.705882352941,88.2352941176471,2.94117647058824,4.90196078431373,31.3725490196078,43.1372549019608,discriminacion alta
30-34 años,LA LIBERTAD,0.502793296089386,0.0670391061452514,0.0614525139664804,1.00558659217877,1.20670391061453,2.53631284916201,56.3351955307263,233.351955307263,213.027932960894,87.1508379888268,5.58659217877095,6.14525139664804,28.4916201117318,33.5195530726257,discriminacion alta
30-34 años,LIMA,0.716923076923077,0.0153846153846154,0.0138461538461538,1.00461538461538,1.27384615384615,2.74,56.5184615384615,402.916923076923,210.315384615385,89.5384615384615,3.53846153846154,1.38461538461538,20.7692307692308,41.0769230769231,discriminacion alta
30-34 años,TUMBES,0.28169014084507,0.352112676056338,0.295774647887324,1,1.05633802816901,2.88732394366197,52.112676056338,129.478873239437,162.394366197183,80.2816901408451,7.04225352112676,25.3521126760563,11.2676056338028,21.1267605633803,discriminacion baja
35-39 años,AREQUIPA,0.619718309859155,0.0352112676056338,0.0140845070422535,1.02112676056338,1.19014084507042,2.77464788732394,50.1549295774648,500.985915492958,145.140845070423,85.2112676056338,4.22535211267606,1.40845070422535,28.169014084507,38.0281690140845,discriminacion alta
35-39 años,CALLAO,0.361904761904762,0.0190476190476191,0.0190476190476191,1.00952380952381,1.06666666666667,2.94285714285714,53.5047619047619,325.009523809524,272.761904761905,87.6190476190476,1.90476190476191,1.90476190476191,26.6666666666667,26.6666666666667,discriminacion alta
35-39 años,CUSCO,0.767857142857143,0.107142857142857,0.0535714285714286,1,1.26785714285714,2.80357142857143,57.8392857142857,504.089285714286,111.25,96.4285714285714,0,5.35714285714286,30.3571428571429,46.4285714285714,discriminacion alta
35-39 años,LA LIBERTAD,0.556603773584906,0.0471698113207547,0.0471698113207547,1,1.17924528301887,2.42452830188679,54.433962264151,273.198113207547,148.349056603774,87.7358490566038,2.83018867924528,4.71698113207547,36.7924528301887,38.6792452830189,discriminacion alta
35-39 años,LIMA,0.642857142857143,0.03125,0.03125,1.00892857142857,1.24553571428571,2.73214285714286,52.8794642857143,342.223214285714,195.415178571429,84.5982142857143,5.80357142857143,3.125,24.3303571428571,37.0535714285714,discriminacion alta
35-39 años,TUMBES,0.215686274509804,0.274509803921569,0.215686274509804,1,1.13725490196078,3,51.0196078431373,231.56862745098,82.7450980392157,82.3529411764706,3.92156862745098,17.6470588235294,13.7254901960784,15.6862745098039,discriminacion baja
40-44 años,AREQUIPA,0.642105263157895,0,0,1,1.21052631578947,2.77894736842105,53.9368421052632,472.315789473684,106.715789473684,90.5263157894737,4.21052631578947,0,22.1052631578947,37.8947368421053,discriminacion alta
40-44 años,CALLAO,0.397058823529412,0.0588235294117647,0.0294117647058824,1.01470588235294,1.26470588235294,2.88235294117647,53.25,418.029411764706,206.764705882353,88.2352941176471,4.41176470588235,2.94117647058824,19.1176470588235,27.9411764705882,discriminacion alta
40-44 años,CUSCO,0.851851851851852,0,0,1,1.25925925925926,2.81481481481482,56.4444444444445,447.962962962963,118.518518518519,88.8888888888889,3.7037037037037,0,25.9259259259259,37.037037037037,discriminacion alta
40-44 años,LA LIBERTAD,0.4875,0.05,0.05,1,1.2,2.7625,52.825,238.6,231.8125,83.75,7.5,5,35,33.75,discriminacion alta
40-44 años,LIMA,0.552631578947369,0.0714285714285714,0.0413533834586466,1.02631578947368,1.23684210526316,2.67293233082707,53.8082706766917,325.627819548872,259.740601503759,84.5864661654135,7.89473684210526,4.13533834586466,21.8045112781955,35.7142857142857,discriminacion alta
40-44 años,TUMBES,0.473684210526316,0.315789473684211,0.263157894736842,1,1,3,51.1052631578948,65,229.894736842105,78.9473684210526,10.5263157894737,15.7894736842105,21.0526315789474,31.5789473684211,discriminacion baja
45-49 años,AREQUIPA,0.7,0,0,1.06,1.24,2.72,58.98,379.42,238,96,2,0,28,38,discriminacion alta
45-49 años,CALLAO,0.317073170731707,0,0,1,1.14634146341463,2.95121951219512,52.0487804878049,590.609756097561,62.2439024390244,82.9268292682927,2.4390243902439,0,26.8292682926829,21.9512195121951,discriminacion alta
45-49 años,CUSCO,0.545454545454545,0.0909090909090909,0.0909090909090909,1.04545454545455,1,2.72727272727273,47.8636363636364,379.590909090909,56.3636363636364,72.7272727272727,4.54545454545455,9.09090909090909,27.2727272727273,45.4545454545455,discriminacion alta
45-49 años,LA LIBERTAD,0.442622950819672,0.0327868852459016,0.0163934426229508,1,1.19672131147541,2.72131147540984,55.9672131147541,224.44262295082,253.852459016393,83.6065573770492,8.19672131147541,1.63934426229508,32.7868852459016,29.5081967213115,discriminacion alta
45-49 años,LIMA,0.762430939226519,0.0110497237569061,0.0110497237569061,1,1.26519337016575,2.77900552486188,49.475138121547,351.779005524862,126.132596685083,78.4530386740332,9.39226519337017,1.10497237569061,30.939226519337,40.8839779005525,discriminacion alta
45-49 años,TUMBES,0.625,0.125,0.125,1,1.375,2.625,61.1875,62.5,261.4375,93.75,0,12.5,31.25,43.75,discriminacion alta
50-54 años,AREQUIPA,0.5,0,0,1.03571428571429,1.14285714285714,2.28571428571429,37.9642857142857,531.071428571429,64.2857142857143,60.7142857142857,7.14285714285714,0,25,32.1428571428572,discriminacion alta
50-54 años,CALLAO,0.333333333333333,0.0333333333333333,0.0333333333333333,1.16666666666667,1.1,2.53333333333333,53.5666666666667,474.333333333333,340,93.3333333333333,3.33333333333333,3.33333333333333,33.3333333333333,26.6666666666667,discriminacion alta
50-54 años,CUSCO,0.466666666666667,0,0,1.06666666666667,1.26666666666667,2.46666666666667,51.8666666666667,485.8,0,73.3333333333333,6.66666666666667,0,46.6666666666667,40,discriminacion alta
50-54 años,LA LIBERTAD,0.32258064516129,0,0,1.03225806451613,1.09677419354839,2.70967741935484,51.7096774193549,346.290322580645,93.2258064516129,83.8709677419355,9.67741935483871,0,29.0322580645161,19.3548387096774,discriminacion alta
50-54 años,LIMA,0.40650406504065,0.00813008130081301,0.00813008130081301,1.02439024390244,1.17073170731707,2.67479674796748,38.2764227642276,251.869918699187,142.813008130081,66.6666666666667,12.1951219512195,0.813008130081301,30.8943089430894,30.0813008130081,discriminacion alta
50-54 años,TUMBES,0.666666666666667,0,0,1,1.16666666666667,3,46,0,916.666666666667,66.6666666666667,16.6666666666667,0,66.6666666666667,33.3333333333333,discriminacion alta
55-59 años,AREQUIPA,0.363636363636364,0.0909090909090909,0.0909090909090909,1,1,2.59090909090909,20.3636363636364,536.363636363636,91.7727272727273,36.3636363636364,18.1818181818182,9.09090909090909,45.4545454545455,22.7272727272727,discriminacion alta
55-59 años,CALLAO,0.4,0.1,0.1,1,1,2.8,34.85,165.3,140,60,5,10,15,30,discriminacion alta
55-59 años,CUSCO,0,0,0,1,1,3,30,10,0,50,0,0,0,0,discriminacion baja
55-59 años,LA LIBERTAD,0.28,0,0,1,1.16,2.84,43.8,155.2,98,64,8,0,8,24,discriminacion alta
55-59 años,LIMA,0.480769230769231,0.0192307692307692,0.0192307692307692,1,1.07692307692308,2.75,31.25,283.076923076923,250.557692307692,53.8461538461539,7.69230769230769,1.92307692307692,28.8461538461538,30.7692307692308,discriminacion alta
55-59 años,TUMBES,0.2,0.2,0.2,1,1,3,38.4,9,180,80,0,20,40,20,discriminacion baja
60-64 años,AREQUIPA,0.5,0,0,1,1,2.66666666666667,16,99.1666666666667,95,33.3333333333333,0,0,8.33333333333333,25,discriminacion alta
60-64 años,CALLAO,0.266666666666667,0,0,1,1.06666666666667,2.86666666666667,17.7333333333333,113.333333333333,246.666666666667,26.6666666666667,6.66666666666667,0,26.6666666666667,20,discriminacion alta
60-64 años,CUSCO,0,0.25,0.25,1,1,3,36,445,0,50,0,25,25,0,discriminacion baja
60-64 años,LA LIBERTAD,0.25,0.0833333333333333,0.0833333333333333,1.16666666666667,1,2.66666666666667,31.8333333333333,199.166666666667,175,75,0,8.33333333333333,25,16.6666666666667,discriminacion alta
60-64 años,LIMA,0.4,0,0,1,1.05714285714286,2.31428571428571,22.6285714285714,129.714285714286,235.714285714286,37.1428571428572,14.2857142857143,0,42.8571428571429,28.5714285714286,discriminacion alta
60-64 años,TUMBES,0,0,0,1,1,3,0,0,0,0,0,0,0,0,discriminacion baja
65-69 años,AREQUIPA,0.333333333333333,0.111111111111111,0.111111111111111,1,1,2.77777777777778,22.8888888888889,131.111111111111,188.888888888889,55.5555555555556,11.1111111111111,11.1111111111111,44.4444444444444,22.2222222222222,discriminacion alta
65-69 años,CALLAO,0,0,0,1,1.16666666666667,2.66666666666667,30.8333333333333,150.833333333333,216.666666666667,50,0,0,50,0,discriminacion baja
65-69 años,CUSCO,0,0,0,1,1,3,72,120,0,100,0,0,0,0,discriminacion baja
65-69 años,LA LIBERTAD,0,0,0,1,1.33333333333333,2.33333333333333,34.3333333333333,83.3333333333333,600,66.6666666666667,33.3333333333333,0,33.3333333333333,0,discriminacion alta
65-69 años,LIMA,0.423076923076923,0,0,1,1.03846153846154,2.84615384615385,25.4230769230769,55.5769230769231,145.5,42.3076923076923,3.84615384615385,0,30.7692307692308,30.7692307692308,discriminacion alta
65-69 años,TUMBES,1,0,0,1,1,3,13,32.5,0,50,0,0,50,50,discriminacion alta
70-74 años,AREQUIPA,0,0,0,1,1,3,0,0,0,0,0,0,0,0,discriminacion baja
70-74 años,CALLAO,0,0,0,1,1,2.25,15.5,12.5,62.5,50,0,0,0,0,discriminacion baja
70-74 años,CUSCO,0,0,0,1,1,1,0,0,0,0,0,0,0,0,discriminacion baja
70-74 años,LA LIBERTAD,0,0,0,1,1,1.66666666666667,0,0,0,0,0,0,33.3333333333333,0,discriminacion baja
70-74 años,LIMA,0.2,0.4,0.4,1,1,3,12,120,0,20,20,40,20,20,discriminacion baja
70-74 años,TUMBES,0,0,0,1,1,3,0,0,0,0,0,0,0,0,discriminacion baja
75-79 años,AREQUIPA,0,0,0,1,1,2.33333333333333,16,0,266.666666666667,33.3333333333333,0,0,33.3333333333333,0,discriminacion baja
75-79 años,CALLAO,0,0,0,1,1,3,0,0,0,0,0,0,0,0,discriminacion baja
75-79 años,CUSCO,0,0,0,1,1,1,0,0,0,0,0,0,0,0,discriminacion baja
75-79 años,LIMA,0,0,0,1,1,3,0,0,0,0,20,0,60,0,discriminacion baja
75-79 años,TUMBES,0,0.5,0.5,1,1,3,9,5,0,0,0,50,0,0,discriminacion baja
80-84 años,AREQUIPA,0,0,0,1,1,2.33333333333333,0,0,0,0,0,0,100,0,discriminacion baja
80-84 años,LA LIBERTAD,0,0,0,1,1,3,0,0,0,0,0,0,100,0,discriminacion baja
80-84 años,LIMA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,discriminacion baja
85-89 años,LIMA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,discriminacion baja
90-94 años,LIMA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,discriminacion baja
